Serial,Mode,Base,URL,,,,,,,,Alfajores test,,,,,,,,Comment
,,,http://127.0.0.1:8000/get/getUserAccountInfo/activity?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab,,,,,,,,,,,,,,,,
,,,http://127.0.0.0:8000/get/getUserAccountInfo/activity?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab&pageNo=0&pageSize=10,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/activity?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/activity?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab&pageNo=0&pageSize=10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,redirection,/get/getUserAccountInfo/riskData,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserAccountInfo/riskData?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getUserAccountInfo/riskData?userPublicKey=84Cd08F5de891F82F6BD2938b06Ed84F6aBaB5e7,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/riskData?userPublicKey=84Cd08F5de891F82F6BD2938b06Ed84F6aBaB5e7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
13,,/get/getUserAccountInfo/borrow,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserAccountInfo/borrow?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getUserAccountInfo/borrow?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/borrow?userPublicKey=A8433849d611F19235B6ef49515055f5cd1ee0Ab,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
14,,/get/getUserAccountInfo/debt,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserAccountInfo/debt?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36&currency=Celo,,,,,,,Not passed,"{""status"": ""ERROR"",""detail"": ""column \""debt\"" does not exist""}"
,,,http://127.0.0.1:8000/get/getUserAccountInfo/debt?userPublicKey=313bc86D3D6e86ba164B2B451cB0D9CfA7943e5c&currency=Celo,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/debt?userPublicKey=313bc86D3D6e86ba164B2B451cB0D9CfA7943e5c&currency=Celo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
15,,/get/getUserAccountInfo/max,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserAccountInfo/max?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36&activityType=deposit,,,,,,,Passed,Might need data sanity checked
,,,http://127.0.0.1:8000/get/getUserAccountInfo/max?userPublicKey=56d0Ae52f33f7C2e38E92F6D20b8ccfD7Dc318Ce&activityType=deposit,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getUserAccountInfo/max?userPublicKey=56d0Ae52f33f7C2e38E92F6D20b8ccfD7Dc318Ce&activityType=deposit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,Redirection,/get/getUserAccountInfo/status,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getUserAccountInfo/status?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getUserAccountInfo/status?userPublicKey=7d8f3b14b6f511eb85290242ac130003,,,,,,,,,,,,,,,,
,,,http://127.0.0.1:8000/get/getUserAccountInfo/status?userPublicKey=313bc86D3D6e86ba164B2B451cB0D9CfA7943e5c,,,,,,,,,,,,,,,,
